Requirement ID,Category,Requirement Title,Description,Compliance Deadline,Applicability
1-6-1,Cybersecurity Governance - Cybersecurity in Project Management,Cybersecurity in Projects,Cybersecurity requirements shall be included in the project management methodology and procedures and in the information and technology asset change management within the entity to ensure identifying and managing cybersecurity risks as part of the technology project lifecycle. The cybersecurity requirements shall be a key part of the requirements for technology projects.,,All entities
1-6-2,Cybersecurity Governance - Cybersecurity in Project Management,Project Cybersecurity Requirements,The cybersecurity requirements for project management and information and technology asset changes within the entity shall include the following as a minimum.,,All entities
1-6-2-1,Cybersecurity Governance - Cybersecurity in Project Management,Vulnerability Assessment and Remediation,Vulnerability assessment and remediation.,,All entities
1-6-2-2,Cybersecurity Governance - Cybersecurity in Project Management,Secure Configuration Review,Reviewing secure configuration and hardening and updates packages before launching projects and changes.,,All entities
1-6-3,Cybersecurity Governance - Cybersecurity in Project Management,Software Development Requirements,The cybersecurity requirements for software and application development projects within the entity shall include the following as a minimum.,,All entities
1-6-3-1,Cybersecurity Governance - Cybersecurity in Project Management,Secure Coding Standards,Using the secure coding standards.,,All entities
1-6-3-2,Cybersecurity Governance - Cybersecurity in Project Management,Trusted Development Tools,Using trusted and licensed sources for software development tools and libraries.,,All entities
1-6-3-3,Cybersecurity Governance - Cybersecurity in Project Management,Compliance Testing,Conducting compliance test for software against the cybersecurity requirements within the entity.,,All entities
1-6-3-4,Cybersecurity Governance - Cybersecurity in Project Management,Secure Integration,Secure integration between applications.,,All entities
1-6-3-5,Cybersecurity Governance - Cybersecurity in Project Management,Configuration Review Before Launch,Reviewing secure configuration and hardening and updates packages before launching software products.,,All entities
1-6-4,Cybersecurity Governance - Cybersecurity in Project Management,Project Requirements Review,The cybersecurity requirements for project management within the entity shall be periodically reviewed.,,All entities
1-7-1,Cybersecurity Governance - Compliance with Standards Laws and Regulations,International Agreements Compliance,If there are nationally approved international agreements or commitments that include cybersecurity requirements the entity shall identify and comply with these requirements.,,All entities
1-8-1,Cybersecurity Governance - Periodical Review and Audit,Internal Review,The cybersecurity department of the entity shall periodically review the implementation of cybersecurity controls by the entity.,,All entities
1-8-2,Cybersecurity Governance - Periodical Review and Audit,Independent Audit,The implementation of cybersecurity controls by the entity shall be reviewed and audited by parties other than the cybersecurity department at the entity provided that the audit and review are to be conducted independently while considering the principle of conflict of interest as per the Generally Accepted Auditing Standards and the relevant legislative and regulatory requirements.,,All entities
1-8-3,Cybersecurity Governance - Periodical Review and Audit,Audit Documentation and Reporting,The results of cybersecurity audits and reviews shall be documented and presented to the cybersecurity supervisory committee and the Authorized Official. Results shall include the audit and review scope observations recommendations corrective actions and remediation plans.,,All entities
1-9-1,Cybersecurity Governance - Cybersecurity in Human Resources,HR Cybersecurity Requirements,Cybersecurity requirements for personnel of the entity shall be identified documented and approved prior to during and upon the end or termination of their employment.,,All entities
1-9-2,Cybersecurity Governance - Cybersecurity in Human Resources,HR Requirements Implementation,Cybersecurity requirements for personnel of the entity shall be implemented.,,All entities
1-9-3,Cybersecurity Governance - Cybersecurity in Human Resources,Pre-Employment Requirements,Cybersecurity requirements prior to the commencement of the employment relationship between personnel and the entity shall include the following as a minimum.,,All entities
1-9-3-1,Cybersecurity Governance - Cybersecurity in Human Resources,Employment Contract Clauses,Incorporating the personnel's cybersecurity responsibilities clauses and non-disclosure clauses in their employment contracts with the entity (including during and after employment end/termination with the entity).,,All entities
1-9-3-2,Cybersecurity Governance - Cybersecurity in Human Resources,Personnel Screening,Conducting screening or vetting for personnel in cybersecurity positions and technical positions with critical and privileged powers.,,All entities
1-9-4,Cybersecurity Governance - Cybersecurity in Human Resources,During Employment Requirements,Cybersecurity requirements for personnel during their employment relationship with the entity shall include the following as a minimum.,,All entities
1-9-4-1,Cybersecurity Governance - Cybersecurity in Human Resources,Cybersecurity Awareness,Cybersecurity awareness (during on-boarding and during employment).,,All entities
1-9-4-2,Cybersecurity Governance - Cybersecurity in Human Resources,Policy Compliance,Implementation and compliance with cybersecurity requirements as per the entity's cybersecurity policies procedures and operations.,,All entities
1-9-5,Cybersecurity Governance - Cybersecurity in Human Resources,Access Revocation,The personnel's powers shall be reviewed and revoked immediately upon the end/termination of their employment with the entity.,,All entities
1-9-6,Cybersecurity Governance - Cybersecurity in Human Resources,HR Requirements Review,Cybersecurity requirements for personnel of the entity shall be periodically reviewed.,,All entities
1-10-1,Cybersecurity Governance - Awareness and Training Program,Awareness Program Development,A cybersecurity awareness program delivered through multiple channels shall be periodically developed and approved by the entity to strengthen the awareness about cybersecurity cyber threats and risks and to build a positive cybersecurity awareness culture.,,All entities
1-10-2,Cybersecurity Governance - Awareness and Training Program,Awareness Program Implementation,The approved cybersecurity awareness program shall be implemented within the entity.,,All entities
1-10-3,Cybersecurity Governance - Awareness and Training Program,Awareness Program Content,The cybersecurity awareness program shall include how to protect the entity against the most important and latest cyber risks and threats including.,,All entities
1-10-3-1,Cybersecurity Governance - Awareness and Training Program,Email Security Awareness,Secure handling of email services especially phishing emails.,,All entities
1-10-3-2,Cybersecurity Governance - Awareness and Training Program,Mobile Device Awareness,Secure handling of mobile devices and storage media.,,All entities
1-10-3-3,Cybersecurity Governance - Awareness and Training Program,Internet Browsing Awareness,Secure Internet browsing.,,All entities
1-10-3-4,Cybersecurity Governance - Awareness and Training Program,Social Media Awareness,Secure usage of social media.,,All entities
1-10-4,Cybersecurity Governance - Awareness and Training Program,Specialized Training,Specialized skills and necessary training shall be provided to personnel in positions that are linked directly to cybersecurity within the entity. Such skills and training shall be classified in line with their cybersecurity responsibilities including.,,All entities
1-10-4-1,Cybersecurity Governance - Awareness and Training Program,Cybersecurity Department Training,Cybersecurity department personnel.,,All entities
1-10-4-2,Cybersecurity Governance - Awareness and Training Program,Technical Personnel Training,Personnel working on software/application development and those working on information and technology assets of the entity.,,All entities
1-10-4-3,Cybersecurity Governance - Awareness and Training Program,Executive Training,Executive and supervisory positions.,,All entities
1-10-5,Cybersecurity Governance - Awareness and Training Program,Program Review,The implementation of cybersecurity awareness program within the entity shall be periodically reviewed.,,All entities
2-1-1,Cybersecurity Defense - Asset Management,Asset Management Requirements,Cybersecurity requirements for managing information and technology assets of the entity shall be identified documented and approved.,,All entities
2-1-2,Cybersecurity Defense - Asset Management,Asset Management Implementation,Cybersecurity requirements for managing information and technology assets of the entity shall be implemented.,,All entities
2-1-3,Cybersecurity Defense - Asset Management,Acceptable Use Policy,The policy of acceptable use of information and technology assets of the entity shall be identified documented approved and communicated.,,All entities
2-1-4,Cybersecurity Defense - Asset Management,Acceptable Use Implementation,The policy of acceptable use of information and technology assets of the entity shall be implemented.,,All entities
2-1-5,Cybersecurity Defense - Asset Management,Asset Classification,Information and technology assets of the entity shall be classified labeled and handled as per the relevant legislative and regulatory requirements.,,All entities
2-1-6,Cybersecurity Defense - Asset Management,Asset Management Review,Cybersecurity requirements for managing information and technology assets of the entity shall be periodically reviewed.,,All entities
2-2-1,Cybersecurity Defense - Identity and Access Management,IAM Requirements,Cybersecurity requirements for identity and access management of the entity shall be identified documented and approved.,,All entities
2-2-2,Cybersecurity Defense - Identity and Access Management,IAM Implementation,Cybersecurity requirements for identity and access management of the entity shall be implemented.,,All entities
2-2-3,Cybersecurity Defense - Identity and Access Management,IAM Minimum Requirements,Cybersecurity requirements for identity and access management of the entity shall include the following as a minimum.,,All entities
2-2-3-1,Cybersecurity Defense - Identity and Access Management,Single-Factor Authentication,Single-factor authentication based on username and password.,,All entities
2-2-3-2,Cybersecurity Defense - Identity and Access Management,Multi-Factor Authentication,Multi-factor authentication and defining the suitable authentication factors and their numbers as well as the suitable authentication techniques based on the result of impact assessment of authentication failure and bypass for remote access and for privileged accounts.,,All entities
2-2-3-3,Cybersecurity Defense - Identity and Access Management,User Authorization,User authorization based on identity and access control principles (Need-to-Know and Need-to-Use principle Least Privilege principle and Segregation of Duties principle).,,All entities
2-2-3-4,Cybersecurity Defense - Identity and Access Management,Privileged Access Management,Privileged access management.,,All entities
2-2-3-5,Cybersecurity Defense - Identity and Access Management,Periodic Access Review,Periodic review of identities and access rights.,,All entities
2-2-4,Cybersecurity Defense - Identity and Access Management,IAM Review,The implementation of cybersecurity requirements for identity and access management of the entity shall be periodically reviewed.,,All entities
2-3-1,Cybersecurity Defense - Information Systems Protection,System Protection Requirements,Cybersecurity requirements for protection of information system and processing facilities of the entity shall be identified documented and approved.,,All entities
2-3-2,Cybersecurity Defense - Information Systems Protection,System Protection Implementation,Cybersecurity requirements for protection of information systems and processing facilities of the entity shall be implemented.,,All entities
2-3-3,Cybersecurity Defense - Information Systems Protection,System Protection Minimum Requirements,Cybersecurity requirements for protection of information systems and processing facilities of the entity shall include the following as a minimum.,,All entities
2-3-3-1,Cybersecurity Defense - Information Systems Protection,Anti-Malware Protection,Protection from viruses suspicious programs and activities and malware on workstations and servers using modern and advanced protection technologies and mechanisms and securely managing them.,,All entities
2-3-3-2,Cybersecurity Defense - Information Systems Protection,External Storage Media Control,Strict restriction on the use of external storage media and their security.,,All entities
2-3-3-3,Cybersecurity Defense - Information Systems Protection,Patch Management,Patch management for systems applications and devices.,,All entities
2-3-3-4,Cybersecurity Defense - Information Systems Protection,Clock Synchronization,Centralized clock synchronization with an accurate and trusted source such as sources provided by the Saudi Standards Metrology and Quality Organization.,,All entities
2-3-4,Cybersecurity Defense - Information Systems Protection,System Protection Review,The implementation of cybersecurity requirements for protection of the information system and processing facilities of the entity shall be periodically reviewed.,,All entities
2-4-1,Cybersecurity Defense - Email Protection,Email Protection Requirements,Cybersecurity requirements for protection of the email service of the entity shall be identified documented and approved.,,All entities
2-4-2,Cybersecurity Defense - Email Protection,Email Protection Implementation,Cybersecurity requirements for protection of email service of the entity shall be implemented.,,All entities
2-4-3,Cybersecurity Defense - Email Protection,Email Protection Minimum Requirements,Cybersecurity requirements for protection of the email service of the entity shall include the following as a minimum.,,All entities
2-4-3-1,Cybersecurity Defense - Email Protection,Email Filtering,Analyzing and filtering email messages (specifically phishing emails and spam emails) using modern and advanced email protection techniques and mechanisms.,,All entities
2-4-3-2,Cybersecurity Defense - Email Protection,Email MFA,Multi-factor authentication and defining the suitable authentication factors and their numbers as well as the suitable authentication techniques based on the result of impact assessment of authentication failure and bypass for remote and webmail access.,,All entities
2-4-3-3,Cybersecurity Defense - Email Protection,Email Archiving,Email archiving and backup.,,All entities
2-4-3-4,Cybersecurity Defense - Email Protection,APT Protection,Secure management and protection against Advanced Persistent Threats which normally utilize zero-day malware and viruses.,,All entities
2-4-3-5,Cybersecurity Defense - Email Protection,Email Domain Validation,Validation of the entity's email service domains by using Sender Policy Framework (SPF) Domain Keys Identified Mail (DKIM) and Domain Message Authentication Reporting and Conformance (DMARC).,,All entities
2-4-4,Cybersecurity Defense - Email Protection,Email Protection Review,The implementation of cybersecurity requirements for email service of the entity shall be periodically reviewed.,,All entities
2-5-1,Cybersecurity Defense - Network Security Management,Network Security Requirements,Cybersecurity requirements for the entity's network security management shall be identified documented and approved.,,All entities
2-5-2,Cybersecurity Defense - Network Security Management,Network Security Implementation,Cybersecurity requirements for the entity's network security management shall be implemented.,,All entities
2-5-3,Cybersecurity Defense - Network Security Management,Network Security Minimum Requirements,Cybersecurity requirements for the entity's network security management shall include the following as a minimum.,,All entities
2-5-3-1,Cybersecurity Defense - Network Security Management,Network Segmentation,Logical or physical isolation and segmentation of network segments in a secure manner which is required to control relevant cybersecurity risks using firewall and defense-in-depth principle.,,All entities
2-5-3-2,Cybersecurity Defense - Network Security Management,Environment Isolation,Isolation of production network from testing and development environment networks.,,All entities
2-5-3-3,Cybersecurity Defense - Network Security Management,Secure Internet Browsing,Secure browsing and internet connectivity including strict restrictions on suspicious websites file storage/sharing websites and remote access websites.,,All entities
2-5-3-4,Cybersecurity Defense - Network Security Management,Wireless Network Security,Wireless network security and protection using secure authentication and encryption techniques and avoiding the connection of wireless networks to the entity's internal network except after a comprehensive assessment of subsequent risks with handling them in a way that protects the technology assets of the entity.,,All entities
2-5-3-5,Cybersecurity Defense - Network Security Management,Network Services Management,Restricting and managing network services protocols and ports.,,All entities
2-5-3-6,Cybersecurity Defense - Network Security Management,Intrusion Prevention,Intrusion Prevention Systems (IPS).,,All entities
2-5-3-7,Cybersecurity Defense - Network Security Management,DNS Security,Security of Domain Name Service (DNS).,,All entities
2-5-3-8,Cybersecurity Defense - Network Security Management,Browsing APT Protection,Secure management and protection of Internet browsing channel against Advanced Persistent Threats which normally utilize zero-day malware and viruses.,,All entities
2-5-3-9,Cybersecurity Defense - Network Security Management,DDoS Protection,Protecting against Distributed Denial of Service (DDoS) attacks to limit risks arising from these attacks.,,All entities
2-5-4,Cybersecurity Defense - Network Security Management,Network Security Review,The implementation of cybersecurity requirements for the entity's network security management shall be periodically reviewed.,,All entities
2-6-1,Cybersecurity Defense - Mobile Devices Security,Mobile Security Requirements,Cybersecurity requirements for mobile devices and BYOD security when connected to the entity's network shall be identified documented and approved.,,All entities
2-6-2,Cybersecurity Defense - Mobile Devices Security,Mobile Security Implementation,Cybersecurity requirements for mobile devices and BYOD security of the entity shall be implemented.,,All entities
2-6-3,Cybersecurity Defense - Mobile Devices Security,Mobile Security Minimum Requirements,Cybersecurity requirements for mobile devices and BYOD security of the entity shall include the following as a minimum.,,All entities
2-6-3-1,Cybersecurity Defense - Mobile Devices Security,Data Separation and Encryption,Separation and encryption of the entity's data and information stored on mobile devices and BYODs.,,All entities
2-6-3-2,Cybersecurity Defense - Mobile Devices Security,Controlled Use,Controlled and restricted use based on the requirements of the interest of the entity's business.,,All entities
2-6-3-3,Cybersecurity Defense - Mobile Devices Security,Remote Data Deletion,Deletion of the entity's data and information stored on mobile devices and BYOD in cases of device loss or after the ending/termination of employment with the entity.,,All entities
2-6-3-4,Cybersecurity Defense - Mobile Devices Security,User Security Awareness,Security awareness for users.,,All entities
2-6-4,Cybersecurity Defense - Mobile Devices Security,Mobile Security Review,The implementation of cybersecurity requirements for mobile devices and BYOD security of the entity shall be periodically reviewed.,,All entities
2-7-1,Cybersecurity Defense - Data and Information Protection,Data Protection Requirements,Cybersecurity requirements for protecting and handling data and information of the entity shall be identified documented and approved as per the relevant legislative and regulatory requirements.,,All entities
2-7-2,Cybersecurity Defense - Data and Information Protection,Data Protection Implementation,Cybersecurity requirements for protecting data and information of the entity shall be implemented based on its classification level.,,All entities
2-7-3,Cybersecurity Defense - Data and Information Protection,Data Protection Review,The implementation of cybersecurity requirements for protecting data and information of the entity shall be periodically reviewed.,,All entities
2-8-1,Cybersecurity Defense - Cryptography,Cryptography Requirements,Cybersecurity requirements for cryptography within the entity shall be identified documented and approved.,,All entities
2-8-2,Cybersecurity Defense - Cryptography,Cryptography Implementation,Cybersecurity requirements for cryptography within the entity shall be implemented.,,All entities
2-8-3,Cybersecurity Defense - Cryptography,Cryptography Minimum Requirements,Cybersecurity requirements for cryptography shall include at least the requirements in the National Cryptographic Standards published by NCA. The appropriate cryptographic standard level shall be implemented based on the nature and sensitivity of the data systems and networks to be protected as well as the entity's risk assessment and as per the relevant legislative and regulatory requirements as follows.,,All entities
2-8-3-1,Cybersecurity Defense - Cryptography,Approved Cryptographic Standards,Approved cryptographic systems and solutions standards and their technical and regulatory restrictions.,,All entities
2-8-3-2,Cybersecurity Defense - Cryptography,Cryptographic Key Management,Secure management of cryptographic keys during their lifecycles.,,All entities
2-8-3-3,Cybersecurity Defense - Cryptography,Data Encryption,Encryption of data in-transit and at-rest as per their classification and the relevant legislative and regulatory requirements.,,All entities
2-8-4,Cybersecurity Defense - Cryptography,Cryptography Review,The implementation of cybersecurity requirements for cryptography within the entity shall be periodically reviewed.,,All entities
2-9-1,Cybersecurity Defense - Backup and Recovery Management,Backup Requirements,Cybersecurity requirements for backup and recovery management within the entity shall be identified documented and approved.,,All entities
2-9-2,Cybersecurity Defense - Backup and Recovery Management,Backup Implementation,Cybersecurity requirements for backup and recovery management within the entity shall be implemented.,,All entities
2-9-3,Cybersecurity Defense - Backup and Recovery Management,Backup Minimum Requirements,Cybersecurity requirements for backup and recovery management shall include the following as a minimum.,,All entities
2-9-3-1,Cybersecurity Defense - Backup and Recovery Management,Backup Scope,Scope of backups to cover critical technology and information assets.,,All entities
2-9-3-2,Cybersecurity Defense - Backup and Recovery Management,Quick Recovery,Ability to perform quick recovery of data and systems after cybersecurity incidents.,,All entities
2-9-3-3,Cybersecurity Defense - Backup and Recovery Management,Backup Testing,Periodic testing for the effectiveness of backup recovery.,,All entities
2-9-4,Cybersecurity Defense - Backup and Recovery Management,Backup Review,The implementation of cybersecurity requirements for backup and recovery management within the entity shall be periodically reviewed.,,All entities
2-10-1,Cybersecurity Defense - Vulnerability Management,Vulnerability Management Requirements,Cybersecurity requirements for technical vulnerabilities management within the entity shall be identified documented and approved.,,All entities
2-10-2,Cybersecurity Defense - Vulnerability Management,Vulnerability Management Implementation,Cybersecurity requirements for technical vulnerabilities management within the entity shall be implemented.,,All entities
2-10-3,Cybersecurity Defense - Vulnerability Management,Vulnerability Management Minimum Requirements,Cybersecurity requirements for technical vulnerabilities management shall include the following as a minimum.,,All entities
2-10-3-1,Cybersecurity Defense - Vulnerability Management,Periodic Vulnerability Assessment,Periodic vulnerabilities assessment and detection.,,All entities
2-10-3-2,Cybersecurity Defense - Vulnerability Management,Vulnerability Classification,Vulnerabilities classification based on their severities.,,All entities
2-10-3-3,Cybersecurity Defense - Vulnerability Management,Vulnerability Remediation,Vulnerabilities remediation based on their classification and the associated cyber risks.,,All entities
2-10-3-4,Cybersecurity Defense - Vulnerability Management,Patch Management for Vulnerabilities,Patch management to remediate vulnerabilities and ensuring the integrity and effectiveness of these updates and fixes are verified using a non-production environment before being applied.,,All entities
2-10-3-5,Cybersecurity Defense - Vulnerability Management,Vulnerability Intelligence,Communication and subscription with trusted resources for new and up-to-date vulnerabilities.,,All entities
2-10-4,Cybersecurity Defense - Vulnerability Management,Vulnerability Management Review,The implementation of cybersecurity requirements for technical vulnerabilities management within the entity shall be periodically reviewed.,,All entities
2-11-1,Cybersecurity Defense - Penetration Testing,Penetration Testing Requirements,Cybersecurity requirements for penetration testing within the entity shall be identified documented and approved.,,All entities
2-11-2,Cybersecurity Defense - Penetration Testing,Penetration Testing Implementation,Cybersecurity requirements for penetration testing within the entity shall be implemented.,,All entities
2-11-3,Cybersecurity Defense - Penetration Testing,Penetration Testing Minimum Requirements,Cybersecurity requirements for penetration testing shall include the following as a minimum.,,All entities
2-11-3-1,Cybersecurity Defense - Penetration Testing,Penetration Testing Scope,Scope of penetration testing to include all externally provided services (via the Internet) and their technical components including infrastructure websites web applications smartphone and tablet applications email and remote access.,,All entities
2-11-3-2,Cybersecurity Defense - Penetration Testing,Periodic Penetration Testing,Conducting penetration tests periodically.,,All entities
2-11-4,Cybersecurity Defense - Penetration Testing,Penetration Testing Review,The implementation of cybersecurity requirements for penetration testing shall be periodically reviewed.,,All entities
2-12-1,Cybersecurity Defense - Event Logs and Monitoring,Event Logs Requirements,Cybersecurity requirements for cybersecurity event logs and monitoring management within the entity shall be identified documented and approved.,,All entities
2-12-2,Cybersecurity Defense - Event Logs and Monitoring,Event Logs Implementation,Cybersecurity requirements for cybersecurity event logs and monitoring management within the entity shall be implemented.,,All entities
2-12-3,Cybersecurity Defense - Event Logs and Monitoring,Event Logs Minimum Requirements,Cybersecurity requirements for cybersecurity event logs and monitoring management shall include the following as a minimum.,,All entities
2-12-3-1,Cybersecurity Defense - Event Logs and Monitoring,Event Logs Activation,Activation of cybersecurity event logs for critical information assets within the entity.,,All entities
2-12-3-2,Cybersecurity Defense - Event Logs and Monitoring,Privileged Account Logging,Activation of cybersecurity event logs for critical and privileged accounts accessing information assets as well as for remote access events within the entity.,,All entities
2-12-3-3,Cybersecurity Defense - Event Logs and Monitoring,SIEM Implementation,Identification of Security Information and Event Management (SIEM) techniques required for cybersecurity event logs collection.,,All entities
2-12-3-4,Cybersecurity Defense - Event Logs and Monitoring,Continuous Monitoring,Continuous monitoring of cybersecurity event logs.,,All entities
2-12-3-5,Cybersecurity Defense - Event Logs and Monitoring,Log Retention,Retention period of cybersecurity event logs (shall be at least 12 months).,,All entities
2-12-4,Cybersecurity Defense - Event Logs and Monitoring,Event Logs Review,The implementation of cybersecurity requirements for cybersecurity event logs and monitoring management within the entity shall be periodically reviewed.,,All entities
2-13-1,Cybersecurity Defense - Incident and Threat Management,Incident Management Requirements,Requirements for cybersecurity incident and threat management within the entity shall be identified documented and approved.,,All entities
2-13-2,Cybersecurity Defense - Incident and Threat Management,Incident Management Implementation,Requirements for cybersecurity incident and threat management within the entity shall be implemented.,,All entities
2-13-3,Cybersecurity Defense - Incident and Threat Management,Incident Management Minimum Requirements,Requirements for cybersecurity incident and threat management shall include the following as a minimum.,,All entities
2-13-3-1,Cybersecurity Defense - Incident and Threat Management,Incident Response Plans,Cybersecurity incident response plans and escalation procedures.,,All entities
2-13-3-2,Cybersecurity Defense - Incident and Threat Management,Incident Classification,Cybersecurity incident classification.,,All entities
2-13-3-3,Cybersecurity Defense - Incident and Threat Management,Incident Reporting to NCA,Reporting cybersecurity incidents to the NCA.,,All entities
2-13-3-4,Cybersecurity Defense - Incident and Threat Management,Threat Intelligence Sharing,Sharing cybersecurity incident notifications threat intelligence penetration indicators and incident reports with the NCA.,,All entities
2-13-3-5,Cybersecurity Defense - Incident and Threat Management,Threat Intelligence Collection,Collecting and handling threat intelligence feeds.,,All entities
2-13-4,Cybersecurity Defense - Incident and Threat Management,Incident Management Review,The implementation of cybersecurity requirements for incident and threat management within the entity shall be periodically reviewed.,,All entities
2-14-1,Cybersecurity Defense - Physical Security,Physical Security Requirements,Cybersecurity requirements for protection of information and technology assets of the entity against unauthorized physical access loss theft and damage shall be identified documented and approved.,,All entities
2-14-2,Cybersecurity Defense - Physical Security,Physical Security Implementation,Cybersecurity requirements for protection of information and technology assets of the entity against unauthorized physical access loss theft and damage shall be implemented.,,All entities
2-14-3,Cybersecurity Defense - Physical Security,Physical Security Minimum Requirements,Cybersecurity requirements for protection of information and technology assets of the entity against unauthorized physical access loss theft and damage shall include the following as a minimum.,,All entities
2-14-3-1,Cybersecurity Defense - Physical Security,Authorized Access to Critical Areas,Authorized access to critical areas within the entity (e.g. the entity's data center disaster recovery center critical information processing facilities security surveillance center network connection rooms technical device and equipment supply areas etc.).,,All entities
2-14-3-2,Cybersecurity Defense - Physical Security,Access and Monitoring Logs,Access and monitoring logs (CCTV).,,All entities
2-14-3-3,Cybersecurity Defense - Physical Security,Log Information Protection,Protection of access and monitoring log information.,,All entities
2-14-3-4,Cybersecurity Defense - Physical Security,Secure Destruction,Security of the destruction and re-use of physical assets that hold classified information (including paper documents and storage media).,,All entities
2-14-3-5,Cybersecurity Defense - Physical Security,Device Security,Security of devices and equipment inside and outside the entity's facilities.,,All entities
2-14-4,Cybersecurity Defense - Physical Security,Physical Security Review,Cybersecurity requirements for protection of information and technology assets of the entity against unauthorized physical access loss theft and damage shall be periodically reviewed.,,All entities
2-15-1,Cybersecurity Defense - Web Application Security,Web Application Security Requirements,Cybersecurity requirements for protection of external web applications of the entity shall be identified documented and approved.,,All entities
2-15-2,Cybersecurity Defense - Web Application Security,Web Application Security Implementation,Cybersecurity requirements for protection of external web applications of the entity shall be implemented.,,All entities
2-15-3,Cybersecurity Defense - Web Application Security,Web Application Security Minimum Requirements,Cybersecurity requirements for protection of external web applications of the entity shall include the following as a minimum.,,All entities
2-15-3-1,Cybersecurity Defense - Web Application Security,Web Application Firewall,Use of web application firewall.,,All entities
2-15-3-2,Cybersecurity Defense - Web Application Security,Multi-Tier Architecture,Adoption of the multi-tier architecture principle.,,All entities
2-15-3-3,Cybersecurity Defense - Web Application Security,Secure Protocols,Use of secure protocols (e.g. HTTPS).,,All entities
